run	t	state	category
claude-composite-r2	148.939	completed	readyForReview
claude-composite-r2	156.553	working	working
claude-composite-r2	157.564	completed	readyForReview
claude-composite-r2	259.983	END	END
claude-composite-r3	0.000	unknown	unknown
claude-composite-r3	0.250	working	working
claude-composite-r3	2.028	idle	idle
claude-composite-r3	9.895	working	working
claude-composite-r3	10.905	idle	idle
claude-composite-r3	17.765	working	working
claude-composite-r3	18.782	idle	idle
claude-composite-r3	25.634	working	working
claude-composite-r3	30.195	unknown	unknown
claude-composite-r3	30.448	working	working
claude-composite-r3	32.986	unknown	unknown
claude-composite-r3	33.750	working	working
claude-composite-r3	35.266	unknown	unknown
claude-composite-r3	36.031	working	working
claude-composite-r3	37.557	unknown	unknown
claude-composite-r3	38.067	working	working
claude-composite-r3	40.597	unknown	unknown
claude-composite-r3	41.102	working	working
claude-composite-r3	43.639	unknown	unknown
claude-composite-r3	44.148	working	working
claude-composite-r3	49.477	completed	readyForReview
claude-composite-r3	100.970	working	working
claude-composite-r3	104.758	permission	needsAttention
claude-composite-r3	146.578	working	working
claude-composite-r3	149.116	completed	readyForReview
claude-composite-r3	156.467	working	working
claude-composite-r3	157.485	completed	readyForReview
claude-composite-r3	259.986	END	END
claude-composite-r4	0.000	unknown	unknown
claude-composite-r4	0.255	working	working
claude-composite-r4	2.289	idle	idle
claude-composite-r4	9.893	working	working
claude-composite-r4	10.910	idle	idle
claude-composite-r4	18.003	working	working
claude-composite-r4	19.014	idle	idle
claude-composite-r4	25.597	working	working
claude-composite-r4	30.663	unknown	unknown
claude-composite-r4	31.167	working	working
claude-composite-r4	32.941	unknown	unknown
claude-composite-r4	33.442	working	working
claude-composite-r4	35.215	unknown	unknown
claude-composite-r4	35.723	working	working
claude-composite-r4	38.009	unknown	unknown
claude-composite-r4	38.261	working	working
claude-composite-r4	40.292	unknown	unknown
claude-composite-r4	40.547	working	working
claude-composite-r4	41.562	unknown	unknown
claude-composite-r4	42.068	working	working
claude-composite-r4	43.844	unknown	unknown
claude-composite-r4	44.349	working	working
claude-composite-r4	45.864	unknown	unknown
claude-composite-r4	46.627	working	working
claude-composite-r4	49.923	completed	readyForReview
claude-composite-r4	100.921	working	working
claude-composite-r4	104.721	permission	needsAttention
claude-composite-r4	146.579	working	working
claude-composite-r4	149.119	completed	readyForReview
claude-composite-r4	156.463	working	working
claude-composite-r4	157.481	completed	readyForReview
claude-composite-r4	259.991	END	END
claude-composite-r5	0.000	unknown	unknown
claude-composite-r5	0.254	working	working
claude-composite-r5	2.030	idle	idle
claude-composite-r5	9.896	working	working
claude-composite-r5	10.912	idle	idle
claude-composite-r5	18.016	working	working
claude-composite-r5	19.033	idle	idle
claude-composite-r5	25.637	working	working
claude-composite-r5	30.456	unknown	unknown
claude-composite-r5	30.961	working	working
claude-composite-r5	31.973	unknown	unknown
claude-composite-r5	32.226	working	working
claude-composite-r5	33.999	unknown	unknown
claude-composite-r5	34.506	working	working
claude-composite-r5	39.938	unknown	unknown
claude-composite-r5	40.191	working	working
claude-composite-r5	43.492	unknown	unknown
claude-composite-r5	44.255	working	working
claude-composite-r5	46.661	completed	readyForReview
claude-composite-r5	100.993	working	working
claude-composite-r5	104.551	permission	needsAttention
claude-composite-r5	146.416	working	working
claude-composite-r5	150.212	completed	readyForReview
claude-composite-r5	156.560	working	working
claude-composite-r5	157.580	completed	readyForReview
claude-composite-r5	259.793	END	END
claude-deprived-r1	0.000	unknown	unknown
claude-deprived-r1	0.255	working	working
claude-deprived-r1	2.278	idle	idle
claude-deprived-r1	9.896	working	working
claude-deprived-r1	10.909	idle	idle
claude-deprived-r1	15.473	working	working
claude-deprived-r1	21.068	unknown	unknown
claude-deprived-r1	21.323	working	working
claude-deprived-r1	23.098	unknown	unknown
claude-deprived-r1	23.608	working	working
claude-deprived-r1	44.192	unknown	unknown
claude-deprived-r1	106.085	working	working
claude-deprived-r1	107.100	completed	readyForReview
claude-deprived-r1	149.967	END	END
claude-error-killed-r1	0.000	unknown	unknown
claude-error-killed-r1	0.254	working	working
claude-error-killed-r1	1.263	idle	idle
claude-error-killed-r1	9.124	working	working
claude-error-killed-r1	10.132	idle	idle
claude-error-killed-r1	10.638	working	working
claude-error-killed-r1	15.702	unknown	unknown
claude-error-killed-r1	16.210	working	working
claude-error-killed-r1	18.755	unknown	unknown
claude-error-killed-r1	19.005	idle	idle
claude-error-killed-r1	59.913	END	END
claude-error-r1	0.000	unknown	unknown
claude-error-r1	0.252	working	working
claude-error-r1	2.029	idle	idle
claude-error-r1	9.381	working	working
claude-error-r1	10.395	idle	idle
claude-error-r1	10.650	working	working
claude-error-r1	12.421	idle	idle
claude-error-r1	15.982	working	working
claude-error-r1	21.558	completed	readyForReview
claude-error-r1	27.397	working	working
claude-error-r1	28.409	completed	readyForReview
claude-error-r1	59.921	END	END
claude-error-startup-r1	0.000	unknown	unknown
claude-error-startup-r1	0.252	working	working
claude-error-startup-r1	1.515	idle	idle
claude-error-startup-r1	5.579	working	working
claude-error-startup-r1	7.616	unknown	unknown
claude-error-startup-r1	8.123	idle	idle
claude-error-startup-r1	8.629	unknown	unknown
claude-error-startup-r1	8.883	working	working
claude-error-startup-r1	11.422	idle	idle
claude-error-startup-r1	19.319	working	working
claude-error-startup-r1	20.338	idle	idle
claude-error-startup-r1	27.437	working	working
claude-error-startup-r1	28.450	idle	idle
claude-error-startup-r1	39.865	END	END
claude-question-r1	0.000	unknown	unknown
claude-question-r1	0.254	working	working
claude-question-r1	2.282	idle	idle
claude-question-r1	9.893	working	working
claude-question-r1	10.909	idle	idle
claude-question-r1	15.497	working	working
claude-question-r1	21.695	question	needsAttention
claude-question-r1	89.797	END	END
codex-composite-r1	0.000	idle	idle
codex-composite-r1	25.601	unknown	unknown
codex-composite-r1	25.856	idle	idle
codex-composite-r1	26.110	working	working
codex-composite-r1	36.764	completed	readyForReview
codex-composite-r1	101.378	working	working
codex-composite-r1	105.427	permission	needsAttention
codex-composite-r1	146.525	working	working
codex-composite-r1	164.278	completed	readyForReview
codex-composite-r1	259.874	END	END
codex-composite-r2	0.000	working	working
codex-composite-r2	0.763	idle	idle
codex-composite-r2	25.619	unknown	unknown
codex-composite-r2	25.874	idle	idle
codex-composite-r2	26.125	working	working
codex-composite-r2	36.285	completed	readyForReview
codex-composite-r2	101.558	working	working
codex-composite-r2	106.887	permission	needsAttention
codex-composite-r2	146.485	working	working
codex-composite-r2	159.927	completed	readyForReview
codex-composite-r2	259.975	END	END
codex-composite-r3	0.000	working	working
codex-composite-r3	0.756	idle	idle
codex-composite-r3	25.504	unknown	unknown
codex-composite-r3	26.010	completed	readyForReview
codex-composite-r3	26.261	working	working
codex-composite-r3	35.394	completed	readyForReview
codex-composite-r3	101.570	working	working
codex-composite-r3	105.117	permission	needsAttention
codex-composite-r3	146.394	working	working
codex-composite-r3	158.318	completed	readyForReview
codex-composite-r3	259.833	END	END
codex-composite-r4	0.000	working	working
codex-composite-r4	0.504	idle	idle
codex-composite-r4	25.630	unknown	unknown
codex-composite-r4	25.884	idle	idle
codex-composite-r4	26.135	working	working
codex-composite-r4	37.293	completed	readyForReview
codex-composite-r4	101.433	working	working
codex-composite-r4	106.764	permission	needsAttention
codex-composite-r4	146.567	working	working
codex-composite-r4	160.018	completed	readyForReview
codex-composite-r4	259.760	END	END
codex-composite-r5	0.000	working	working
codex-composite-r5	0.508	idle	idle
codex-composite-r5	25.619	unknown	unknown
codex-composite-r5	25.874	idle	idle
codex-composite-r5	26.130	working	working
codex-composite-r5	36.524	completed	readyForReview
codex-composite-r5	101.520	working	working
codex-composite-r5	104.565	permission	needsAttention
codex-composite-r5	146.473	working	working
codex-composite-r5	159.480	completed	readyForReview
codex-composite-r5	259.940	END	END
codex-deprived-r1	0.000	working	working
codex-deprived-r1	0.508	idle	idle
codex-deprived-r1	15.475	unknown	unknown
codex-deprived-r1	15.983	completed	readyForReview
codex-deprived-r1	16.238	working	working
codex-deprived-r1	26.123	idle	idle
codex-deprived-r1	106.081	completed	readyForReview
codex-deprived-r1	149.760	END	END
codex-error-killed-r1	0.000	idle	idle
codex-error-killed-r1	0.255	working	working
codex-error-killed-r1	1.264	idle	idle
codex-error-killed-r1	10.649	unknown	unknown
codex-error-killed-r1	10.902	idle	idle
codex-error-killed-r1	11.156	working	working
codex-error-killed-r1	19.022	idle	idle
codex-error-killed-r1	59.940	END	END
codex-error-r1	0.000	working	working
codex-error-r1	3.556	idle	idle
codex-error-r1	10.666	unknown	unknown
codex-error-r1	10.921	idle	idle
codex-error-r1	11.175	working	working
codex-error-r1	15.993	completed	readyForReview
codex-error-r1	16.500	working	working
codex-error-r1	19.800	completed	readyForReview
codex-error-r1	59.923	END	END
codex-error-startup-r1	0.000	working	working
codex-error-startup-r1	2.026	idle	idle
codex-error-startup-r1	5.582	unknown	unknown
codex-error-startup-r1	5.834	idle	idle
codex-error-startup-r1	39.892	END	END
codex-question-r1	0.000	idle	idle
codex-question-r1	0.508	working	working
codex-question-r1	1.521	idle	idle
codex-question-r1	15.502	unknown	unknown
codex-question-r1	16.374	working	working
codex-question-r1	19.160	completed	readyForReview
codex-question-r1	89.828	END	END
fallback-fb-bin-bash---	0.000	idle	idle
fallback-fb-bin-bash---	19.808	END	END
fallback-fbpython3--q--	0.000	idle	idle
fallback-fbpython3--q--	19.785	END	END
fallback-fbtop--l-0-	0.000	idle	idle
fallback-fbtop--l-0-	19.798	END	END
